"The Flounder / Elizabeth Hobbs / United Kingdom / 2019 / 6'30""";Камбала
"The Fourfold / Alisi Telengut / Canada / 2020 / 7'14""";Вчетвером
"The Frolic / Yi-Han Jhao / Taiwan / 2020 / 4'34""";Проказник
"The Funny Story About Tinder / Ekaterina Nadezhdina / Russia / 2021 / 2'00""";Веселая история про Тиндер
"The Game / Elena Kurkova / Russia / 2020 / 3'10""";Игра
"The Goose and The Common / Shadab Shyaegan / Austria / 2020 / 3'59""";
"The Growth / Sarah Cheok / Singapore / 2019 / 7'03""";Рост
"The Hunt / Mateusz Jarmulski / Poland / 2018 / 8'00""";Охота
"The Kite / Martin Smatana / Czech Republic, Poland, Slovakia / 2019 / 13'10""";Воздушный змей
"The Little Boat That Wanted To Fly / Ekaterina Filippova / Russia / 2020 / 6'40""";Кораблик, который хотел летать
"The Lonely Orbit / Frederic Siegel, Benjamin Morard / Switzerland / 2019 / 9'20""";Одинокая орбита
"The Mistress Of The Copper Mountain / Dmitry Geller / Russia / 2020 / 13'33""";Хозяйка Медной горы
"The Natural Order Of Things / Luce Grosjean / France / 2019 / 4'06""";Естественный порядок вещей
"The New World: Variations on Stay-home Activities / Hong Ning, Zhao Xiaofeng / China / 2020 / 1'45""";Новый мир: вариации на тему домашних занятий
"The Other Way Wolf / Ira Elshansky / Russia / 2020 / 11'04""";Волк наоборот
"The Passerby / Pieter Coudyzer / Belgium / 2020 / 15'59""";Прохожий
"The Portrait of a Boring Man / Vasily Korepanov / Russia / 2020 / 7'10""";Портрет скучного человека
"The Quest for Freedom and the Longing for Belonging / Noam Paul / Israel / 2020 / 3'13""";Стремление к свободе и принадлежности
"The Sailor / Miguel Palomar / Spain / 2019 / 5'12""";Моряк
"The Shkafovs / Andrei Bakhurin / Russia / 2021 / 6'52""";Шкафовы
The Shoreline / Sophie Racine / France / 2020 / 8'20""";Береговая линия
"The Stork / Morten Tšinakov, Lucija Mrzljak / Estonia / 2020 / 15'51""";Аист
"The Surrogate / Stas Santimov / Ukraine / 2020 / 6'03""";Суррогат
"The Swamp / Vera Vyugina / Russia / 2020 / 2'42""";Болото
